784,200,
740,200,
659,200,
659,200,
740,200,
0,800,
784,200,
740,200,
659,200,
659,200,
0,300,
740,200,
587,200,
0,300,
659,200,
440,200,
0,800,
440,200,
659,300,
740,200,
784,300,
659,300,
554,200,
0,100,
587,200,
659,300,
0,100,
440,300,
440,200,
740,200,
0,1000,
784,200,
740,200,
659,200,
659,200,
740,200,
0,800,
784,200,
740,200,
659,200,
659,200,
0,300,
740,200,
587,200,
0,300,
659,200,
440,200,
0,800,
659,300,
740,200,
784,300,
659,200,
554,300,
587,200,
659,400,
0,100,
440,200,
587,200,
659,200,
698,200,
659,200,
587,200,
523,200,
0,400,
440,200,
466,300,
523,300,
698,200,
0,100,
659,200,
587,200,
587,200,
523,200,
0,50,
587,200,
523,200,
0,50,
523,300,
0,50,
523,200,
0,200,
440,200,
466,300,
523,300,
698,200,
0,100,
783,200,
698,200,
659,250,
587,200,
587,200,
659,200,
698,300,
0,50,
698,300,
0,100,
783,200,
880,200,
932,200,
932,200,
880,200,
0,50,
783,300,
698,200,
783,200,
880,200,
880,200,
783,200,
0,50,
698,300,
0,100,
587,200,
523,200,
587,200,
698,200,
698,200,
659,300,
0,50,
659,200,
739,100,
739,400,
