1913,200
2027,200
2276,200
2276,200
2027,200
1913,200
2027,200
2276,200
2276,200
2027,200
2555,200
2276,200
3409,200
3409,200
2276,300
2027,200
1913,300
2276,300
2707,200
2555,200
2276,300
3409,300
3409,200
2027,200
1913,200
2027,200
2276,200
2276,200
2027,200
1913,200
2027,200
2276,200
2276,200
2027,200
2555,200
2276,200
3409,200
2276,300
2027,200
1913,300
2276,200
2707,300
2555,200
2276,400
3409,200
2555,200
2276,200
2148,200
2276,200
2555,200
2868,200
3409,200
3218,300
2868,300
2148,200
2276,200
2555,200
2555,200
2868,200
2555,200
2868,200
2868,300
2868,200
3409,200
3218,300
2868,300
2148,200
1915,200
2148,200
2276,250
2555,200
2555,200
2276,200
2148,300
2148,300
1915,200
1704,200
1609,200
1609,200
1704,200
1915,300
2148,200
1915,200
1704,200
1704,200
1915,200
2148,300
2555,200
2868,200
2555,200
2148,200
2148,200
2276,300
2276,200
2029,100
2029,400
